개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
3110000,3110000-103-1993-04302,1993-09-13,,1,영업/정상,1,영업,,,,,203828642,87.96,122-810,서울특별시 은평구 갈현동 424-8,서울특별시 은평구 갈현로 302 (갈현동),3328,남행열차,2023-03-23 10:33,U,05:00.0,단란주점,192619.8394,457945.539,,,,,,,,,,,,,,,,,,,
3230000,3230000-103-1994-03362,1994-06-08,,1,영업/정상,1,영업,,,,,02 4437040,68.03,138-801,서울특별시 송파구 가락동 48-12,서울특별시 송파구 송이로 87 (가락동),5706,낭만 라이브,2023-03-29 15:16,U,01:00.0,단란주점,210612.045,444025.0556,,,,,,,,,,,,,,,,,,,
3140000,3140000-103-1997-05824,1997-02-20,,1,영업/정상,1,영업,,,,,02 6442445,93.76,158-806,서울특별시 양천구 목동 405-280 지하 1층,"서울특별시 양천구 오목로 318, 지하 1층 (목동)",8005,황금단란주점,2023-03-02 18:55,U,04:00.0,단란주점,188670.2674,446940.3528,,,,,,,,,,,,,,,,,,,
3170000,3170000-103-1996-00660,1996-04-25,,1,영업/정상,1,영업,,,,,02 8937800,46.98,153-858,서울특별시 금천구 시흥동 891-6,"서울특별시 금천구 시흥대로50길 17, 지하1층 (시흥동)",8629,사랑초7080생음악,2023-10-10 11:12,U,02:00.0,단란주점,191350.6326,438826.3789,,,,,,,,,,,,,,,,,,,
3190000,3190000-103-1995-01758,1995-03-22,,3,폐업,2,폐업,2023-03-02,,,,205956235,96.5,156-816,서울특별시 동작구 사당동 137-8,서울특별시 동작구 동작대로27가길 26 (사당동),7008,치토,2023-03-02 12:49,U,04:00.0,단란주점,198236.7392,442702.2012,,,,,,,,,,,,,,,,,,,
3140000,3140000-103-1993-05667,1993-10-20,,3,폐업,2,폐업,2024-05-31,,,,226462291,71.43,158-806,서울특별시 양천구 목동 404-115 지하 1층,"서울특별시 양천구 신목로 94, 지하 1층 (목동)",8007,가야,2024-05-31 17:20,U,02:00.0,단란주점,188896.3394,446749.6501,,,,,,,,,,,,,,,,,,,
3210000,3210000-103-2010-00004,2010-07-02,,1,영업/정상,1,영업,,,,,,84.34,137-863,서울특별시 서초구 서초동 1366-7 지하 1층 일부,"서울특별시 서초구 강남대로 243 (서초동,지하 1층 일부)",6735,김(kim)클럽단란주점,2023-03-13 11:37,U,05:00.0,단란주점,202875.3844,442552.0812,,,,,,,,,,,,,,,,,,,
3210000,3210000-103-1993-06261,1993-10-26,,3,폐업,2,폐업,2023-03-14,,,,02  522 3341,139.57,137-881,서울특별시 서초구 서초동 1658-5 지하1층,"서울특별시 서초구 서초대로52길 29, 지하1층 (서초동)",6634,에이치(H),2023-03-14 16:04,U,06:00.0,단란주점,201241.8876,443367.7549,,,,,,,,,,,,,,,,,,,
3220000,3220000-103-1993-04064,1993-11-19,,3,폐업,2,폐업,2023-03-15,,,,02 5012448,153.43,135-513,서울특별시 강남구 역삼동 700-27,서울특별시 강남구 언주로94길 13 (역삼동),6147,카라,2023-03-15 13:14,U,07:00.0,단란주점,203757.9645,444700.323,,,,,,,,,,,,,,,,,,,
3150000,3150000-103-1993-00704,1993-11-15,,1,영업/정상,1,영업,,,,,226046510,113.33,157-884,서울특별시 강서구 화곡동 372-95 (지하 1층),"서울특별시 강서구 가로공원로72길 3, 지하 1층 (화곡동, 1동)",7761,캡틴,2024-02-08 17:19,U,01:00.0,단란주점,185351.0516,448270.0121,,,,,,,,,,,,,,,,,,,
3060000,3060000-103-2011-00002,2011-04-28,,1,영업/정상,1,영업,,,,,,122.12,131-848,서울특별시 중랑구 묵동 163-1 2층,"서울특별시 중랑구 숙선옹주로 3 (묵동,2층)",2032,노래하는 포장마차,2023-03-17 13:24,U,09:00.0,단란주점,206806.0827,457062.2421,,,,,,,,,,,,,,,,,,,
3220000,3220000-103-1999-03006,1999-10-11,,1,영업/정상,1,영업,,,,,,116.79,135-914,서울특별시 강남구 역삼동 667-0,"서울특별시 강남구 논현로 542, 지하1층 B101호 (역삼동)",6136,조수경라이브,2023-03-17 9:55,U,09:00.0,단란주점,203061.9604,444718.7031,,,,,,,,,,,,,,,,,,,
3000000,3000000-103-1994-08452,1994-03-12,,1,영업/정상,1,영업,,,,,,82.85,110-320,서울특별시 종로구 낙원동 232 지상2층,"서울특별시 종로구 수표로 123-6 (낙원동,지상2층)",3140,남정,2024-03-12 13:56,U,04:00.0,단란주점,198913.2114,452212.3441,,,,,,,,,,,,,,,,,,,
3210000,3210000-103-1996-14870,1996-10-08,,1,영업/정상,1,영업,,,,,02   5854900,100.81,137-818,서울특별시 서초구 방배동 444-16,"서울특별시 서초구 동작대로 18, 지하1층 (방배동)",6693,또와,2024-05-17 9:16,U,09:00.0,단란주점,198344.7614,441768.7848,,,,,,,,,,,,,,,,,,,
3040000,3040000-103-1995-06982,19950204,,1,영업/정상,1,영업,,,,,02 4440101,88.33,143822,서울특별시 광진구 구의동 218-16,서울특별시 광진구 아차산로 442 (구의동),5047,태평양7080,2022-05-24 14:29,U,06:00.0,단란주점,208041.679,448478.0965,,,,,,,,,,,,,,,,,,,
3140000,3140000-103-1993-05700,19931208,,3,폐업,2,폐업,20220405,,,,226462775,81,158811,서울특별시 양천구 목동 606-3,"서울특별시 양천구 등촌로 238, 지하 1층 (목동)",7946,소리새,2022-04-05 17:38,U,07:00.0,단란주점,187968.4971,449833.1402,,,,,,,,,,,,,,,,,,,
3110000,3110000-103-1997-04554,1997-08-11,,1,영업/정상,1,영업,,,,,02 3541223,50.42,122-809,서울특별시 은평구 갈현동 400-1 (지층),"서울특별시 은평구 통일로 863-13 (갈현동,(지층))",3330,브라보,2023-03-21 15:19,U,03:00.0,단란주점,192807.8243,457513.3255,,,,,,,,,,,,,,,,,,,
3090000,3090000-103-2023-00001,2023-11-09,,1,영업/정상,1,영업,,,,,,125.68,132-924,서울특별시 도봉구 창동 655-15,"서울특별시 도봉구 도봉로 464, 지하1층 (창동)",1455,힐링캠프,2023-11-09 14:24,I,01:00.0,단란주점,202949.2835,460514.3685,,,,,,,,,,,,,,,,,,,
3180000,3180000-103-1999-02090,1999-12-30,,1,영업/정상,1,영업,,,,,226710811,52.92,150-033,서울특별시 영등포구 영등포동3가 26,"서울특별시 영등포구 영중로8길 20, 2층 (영등포동3가)",,비전,2023-04-17 9:31,U,09:00.0,단란주점,191784.7946,446222.7916,,,,,,,,,,,,,,,,,,,
3220000,3220000-103-1995-03292,1995-12-06,,1,영업/정상,1,영업,,,,,,100.58,135-825,서울특별시 강남구 논현동 164-16,"서울특별시 강남구 학동로2길 50, 지하1층 (논현동)",6114,탑스타,2023-06-23 16:52,U,05:00.0,단란주점,202001.4231,445126.2178,,,,,,,,,,,,,,,,,,,
3200000,3200000-103-2024-00001,2024-03-29,,1,영업/정상,1,영업,,,,,,147.94,151-930,서울특별시 관악구 신림동 1638-24,"서울특별시 관악구 신림로59길 7, 지하1층 (신림동)",8776,파이프,2024-04-16 10:01,U,08:00.0,단란주점,193676.7634,442304.4622,,,,,,,,,,,,,,,,,,,
3020000,3020000-103-1996-03204,1996-04-12,,1,영업/정상,1,영업,,,,,,148.38,140-848,서울특별시 용산구 원효로3가 37-2 지하1층,"서울특별시 용산구 원효로41길 15 (원효로3가, 37-2 지하1층)",4363,빙고,2023-03-17 9:33,U,09:00.0,단란주점,196247.9693,448034.5422,,,,,,,,,,,,,,,,,,,
3140000,3140000-103-1993-05714,1993-12-31,,1,영업/정상,1,영업,,,,,226046631,83.16,158-856,서울특별시 양천구 신정동 890-16 지하 1층,"서울특별시 양천구 목동로25길 5, 지하 1층 (신정동)",7938,로데오노래팡,2023-03-17 13:57,U,09:00.0,단란주점,187846.9651,447277.4417,,,,,,,,,,,,,,,,,,,
3230000,3230000-103-1994-03390,1994-05-12,,3,폐업,2,폐업,2023-03-20,,,,02 4228571,144.39,138-851,서울특별시 송파구 송파동 133 지하1층,"서울특별시 송파구 백제고분로46길 4, 지하1층 (송파동)",5665,돈다 돈다,2023-03-20 11:00,U,02:00.0,단란주점,209817.2338,445144.3144,,,,,,,,,,,,,,,,,,,
3220000,3220000-103-1996-03176,1996-09-30,,1,영업/정상,1,영업,,,,,02 5140580,111.77,135-545,서울특별시 강남구 논현동 206-11,서울특별시 강남구 봉은사로 169 (논현동),6122,레드,2023-10-16 14:25,U,08:00.0,단란주점,202800.4464,444999.6229,,,,,,,,,,,,,,,,,,,
3070000,3070000-103-1997-09145,1997-12-30,,1,영업/정상,1,영업,,,,,02 9418881,149.03,136-865,서울특별시 성북구 하월곡동 17-5,서울특별시 성북구 화랑로 104 (하월곡동),2793,허니 라이브,2023-07-24 15:37,U,06:00.0,단란주점,203757.4031,455668.4204,,,,,,,,,,,,,,,,,,,
3200000,3200000-103-1995-08083,1995-11-09,,1,영업/정상,1,영업,,,,,070 87285503,75.66,151-871,서울특별시 관악구 신림동 499-50,"서울특별시 관악구 신사로 110, 지하1층 (신림동)",8702,남강,2023-03-24 10:32,U,06:00.0,단란주점,192377.3546,442824.0076,,,,,,,,,,,,,,,,,,,
3230000,3230000-103-1994-03312,1994-12-05,,1,영업/정상,1,영업,,,,,241779067,111.02,138-844,서울특별시 송파구 석촌동 178-0,서울특별시 송파구 백제고분로39길 22 (석촌동),5609,골든벨,2023-03-24 10:12,U,06:00.0,단란주점,209155.4074,444895.3086,,,,,,,,,,,,,,,,,,,
3050000,3050000-103-2005-00004,2005-10-05,,3,폐업,2,폐업,2023-07-26,,,,222441155,130.93,130-840,서울특별시 동대문구 장안동 366-7,"서울특별시 동대문구 장한로 110, 3층 (장안동)",,(주)경남리젠시,2023-07-25 16:44,U,07:00.0,단란주점,206199.9532,451997.9348,,,,,,,,,,,,,,,,,,,
3230000,3230000-103-2022-00001,2022-04-29,,1,영업/정상,1,영업,,,,,,108.48,138-827,서울특별시 송파구 방이동 37-7,"서울특별시 송파구 오금로11길 23-9, 2층 (방이동)",5543,JJ노래주점,2023-10-18 9:06,U,00:00.0,단란주점,209635.8351,445921.5644,,,,,,,,,,,,,,,,,,,
3210000,3210000-103-2004-00012,2004-11-10,,3,폐업,2,폐업,2023-08-10,,,,02 5998309,117.86,137-882,서울특별시 서초구 서초동 1688-6 지하1층,"서울특별시 서초구 서초대로 355, 지하1층 (서초동)",6607,멤버스클럽단란주점,2023-08-11 14:18,U,03:00.0,단란주점,201711.4383,443758.6567,,,,,,,,,,,,,,,,,,,
3110000,3110000-103-1997-04536,1997-01-18,,1,영업/정상,1,영업,,,,,02 3824600,95.14,122-831,서울특별시 은평구 녹번동 117-15 (지층),"서울특별시 은평구 통일로 681 (녹번동,(지층))",3382,팡팡,2024-06-24 11:57,U,06:00.0,단란주점,193986.9898,456081.8781,,,,,,,,,,,,,,,,,,,
3220000,3220000-103-1994-03478,1994-12-30,,3,폐업,2,폐업,2023-08-22,,,,205126176,84.78,135-888,서울특별시 강남구 신사동 516-11,서울특별시 강남구 강남대로154길 43 (신사동),6035,랄랄라,2023-08-22 17:03,U,04:00.0,단란주점,201910.3125,446273.74,,,,,,,,,,,,,,,,,,,
3180000,3180000-103-2010-00007,20100527,,3,폐업,2,폐업,20220330,,,,,31.53,150885,서울특별시 영등포구 여의도동 35-5 여의도종합상가 231호,"서울특별시 영등포구 여의나루로 42, 231호 (여의도동,여의도종합상가)",7328,캐슬,2022-03-30 14:29,U,01:00.0,단란주점,193306.33,446582.7823,,,,,,,,,,,,,,,,,,,
3210000,3210000-103-2003-00004,2003-05-28,,1,영업/정상,1,영업,,,,,02 587 7348,113.1,137-863,서울특별시 서초구 서초동 1363-3 지하1층,"서울특별시 서초구 남부순환로347길 20, 지하1층 (서초동)",6735,루이체,2024-05-22 10:45,U,04:00.0,단란주점,202751.2451,442569.0538,,,,,,,,,,,,,,,,,,,
3000000,3000000-103-2001-11931,2001-05-04,,1,영업/정상,1,영업,,,,,02 7456303,77.5,110-807,서울특별시 종로구 돈의동 37 지하1층,"서울특별시 종로구 돈화문로11길 26, 지하1층 (돈의동)",3133,쎄라,2023-08-23 16:20,U,05:00.0,단란주점,199042.9361,452266.0155,,,,,,,,,,,,,,,,,,,
3240000,3240000-103-1995-05247,1995-08-21,,1,영업/정상,1,영업,,,,,02  442 5535,83.06,134-859,서울특별시 강동구 암사동 488-16,서울특별시 강동구 구천면로 311 (암사동),5265,바램,2023-08-25 13:19,U,07:00.0,단란주점,211829.5206,449478.7352,,,,,,,,,,,,,,,,,,,
3140000,3140000-103-1997-05844,1997-12-29,,1,영업/정상,1,영업,,,,,226531750,86.25,158-811,서울특별시 양천구 목동 603-1 지하 1층,"서울특별시 양천구 공항대로 550, 지하 1층 (목동)",7946,삼삼한청춘,2023-08-28 13:37,U,00:00.0,단란주점,188139.506,449728.2792,,,,,,,,,,,,,,,,,,,
3020000,3020000-103-1994-03350,1994-03-22,,1,영업/정상,1,영업,,,,,02 7136865,103.6,140-133,서울특별시 용산구 청파동3가 21-15 (지층),"서울특별시 용산구 청파로47길 9 (청파동3가,(지층))",4313,궁,2023-11-17 9:21,U,09:00.0,단란주점,197271.5366,449162.4146,,,,,,,,,,,,,,,,,,,
3230000,3230000-103-2022-00003,2022-08-10,,1,영업/정상,1,영업,,,,,02  422 3616,81.19,138-861,서울특별시 송파구 잠실동 182-4,"서울특별시 송파구 백제고분로7길 33, 지하1층 (잠실동)",5557,헤븐노래방,2024-03-13 11:04,U,06:00.0,단란주점,207233.6964,445414.7005,,,,,,,,,,,,,,,,,,,
3200000,3200000-103-2007-00007,2007-12-26,,1,영업/정상,1,영업,,,,,,60.17,151-892,서울특별시 관악구 신림동 1431-41,"서울특별시 관악구 신림동길 3, 지상2층 (신림동)",8760,스위트 데빌스,2023-11-21 14:33,U,03:00.0,단란주점,193594.7104,442792.2934,,,,,,,,,,,,,,,,,,,
3050000,3050000-103-1994-08607,1994-01-19,,3,폐업,2,폐업,2023-03-23,,,,222166532,123.86,130-100,서울특별시 동대문구 장안동 143-40 지하1층,"서울특별시 동대문구 답십리로 252, 지하1층 (장안동)",2623,콘서트7080,2023-03-23 15:58,U,05:00.0,단란주점,205949.7122,452227.2194,,,,,,,,,,,,,,,,,,,
3180000,3180000-103-2001-14138,2001-11-30,,3,폐업,2,폐업,2023-03-27,,,,,143.8,150-033,서울특별시 영등포구 영등포동3가 2-3,서울특별시 영등포구 영중로10길 43 (영등포동3가),7303,미스앤미스터,2023-03-27 20:23,U,09:00.0,단란주점,191982.6133,446255.109,,,,,,,,,,,,,,,,,,,
3180000,3180000-103-1997-13110,1997-11-07,,3,폐업,2,폐업,2023-03-27,,,,02 7840203,75.9,150-875,서울특별시 영등포구 여의도동 21-4 공작상가 206동,"서울특별시 영등포구 여의나루로 113, 206동 (여의도동,공작상가)",7336,카니발,2023-03-27 20:55,U,09:00.0,단란주점,193809.0125,447090.1479,,,,,,,,,,,,,,,,,,,
3180000,3180000-103-1995-02204,1995-12-27,,3,폐업,2,폐업,2023-03-27,,,,02 8426383,118.1,150-832,서울특별시 영등포구 도림동 156-5,,,대풍비지니스,2023-03-27 20:50,U,09:00.0,단란주점,,,,,,,,,,,,,,,,,,,,,
3180000,3180000-103-1994-02389,1994-09-26,,3,폐업,2,폐업,2023-03-27,,,,02 6722410,54.04,150-094,서울특별시 영등포구 문래동4가 8-4,서울특별시 영등포구 도림로 483 (문래동4가),7288,골든벨,2023-03-27 20:35,U,09:00.0,단란주점,190192.1965,446039.0176,,,,,,,,,,,,,,,,,,,
3210000,3210000-103-1996-02347,19960311,,1,영업/정상,1,영업,,,,,02588 8823,109.65,137875,서울특별시 서초구 서초동 1577-2,서울특별시 서초구 서초대로50길 75 (서초동),6650,솜,2022-06-03 9:55,U,08:00.0,단란주점,201154.3679,443075.9053,,,,,,,,,,,,,,,,,,,
3180000,3180000-103-1994-02414,1994-08-30,,3,폐업,2,폐업,2023-03-27,,,,206756332,78.04,150-094,서울특별시 영등포구 문래동4가 7-4,서울특별시 영등포구 도림로 471 (문래동4가),7288,복,2023-03-27 20:40,U,09:00.0,단란주점,190298.6809,445973.8701,,,,,,,,,,,,,,,,,,,
3210000,3210000-103-2000-14878,20000722,,1,영업/정상,1,영업,,,,,234871143,144.69,137725,서울특별시 서초구 서초동 1596-6 지하,"서울특별시 서초구 효령로53길 67 (서초동,지하)",6652,필드라이브,2022-03-28 11:14,U,00:00.0,단란주점,201056.1351,442821.6865,,,,,,,,,,,,,,,,,,,
3180000,3180000-103-1993-02571,1993-09-08,,3,폐업,2,폐업,2023-03-27,,,,02 6781953,140.5,150-033,서울특별시 영등포구 영등포동3가 12-22,서울특별시 영등포구 영중로4길 38 (영등포동3가),,오사카,2023-03-27 20:13,U,09:00.0,단란주점,192006.2297,446211.8123,,,,,,,,,,,,,,,,,,,
3220000,3220000-103-1997-03125,19970311,,1,영업/정상,1,영업,,,,,02 5392004,147.71,135879,서울특별시 강남구 삼성동 154-15,서울특별시 강남구 삼성로96길 27 (삼성동),6167,엠(M),2022-06-09 10:04,U,01:00.0,단란주점,205054.11,445238.565,,,,,,,,,,,,,,,,,,,
3010000,3010000-103-2000-12553,20000203,,3,폐업,2,폐업,20220421,,,,222384406,90.42,100819,서울특별시 중구 신당동 150-2,서울특별시 중구 퇴계로 452 (신당동),,영이주점,2022-04-21 16:32,U,03:00.0,단란주점,201851.8802,451448.701,,,,,,,,,,,,,,,,,,,
3000000,3000000-103-2000-11397,2000-07-10,,1,영업/정상,1,영업,,,,,,97.71,110-320,서울특별시 종로구 낙원동 225 한국장기협회 2층,"서울특별시 종로구 수표로 121-1, 한국장기협회 2층 (낙원동)",3140,보노 노래바 큐 Q,2024-04-26 17:05,U,08:00.0,단란주점,198939.5938,452197.7893,,,,,,,,,,,,,,,,,,,
3050000,3050000-103-1993-08541,19931015,,1,영업/정상,1,영업,,,,,02  959 1561,72.64,130851,서울특별시 동대문구 전농동 597-2 지하1층,"서울특별시 동대문구 왕산로 254, 지하1층 (전농동)",2554,쭌7080라이브,2022-06-15 16:45,U,08:00.0,단란주점,204323.8186,453460.8326,,,,,,,,,,,,,,,,,,,
3100000,3100000-103-1998-05984,1998-12-26,,1,영업/정상,1,영업,,,,,,89.94,139-832,서울특별시 노원구 상계동 725-3 원흥상가지하1층,"서울특별시 노원구 동일로218길 지하 35, 지하1층 (상계동, 원흥상가)",,와 노래주점,2023-03-28 11:16,U,00:00.0,단란주점,205481.9393,461308.4228,,,,,,,,,,,,,,,,,,,
3220000,3220000-103-1995-03300,1995-10-20,,1,영업/정상,1,영업,,,,,02 5179486,144.93,135-887,서울특별시 강남구 신사동 514-3,서울특별시 강남구 강남대로152길 24 (신사동),6035,오케이노래빠(OK노래빠),2023-03-28 15:21,U,00:00.0,단란주점,201824.2788,446141.6937,,,,,,,,,,,,,,,,,,,
3070000,3070000-103-1993-07743,1993-12-14,,3,폐업,2,폐업,2023-03-29,,,,209142834,150.32,136-140,"서울특별시 성북구 장위동 64-121 ,122","서울특별시 성북구 화랑로 245 (장위동,,122)",2772,놀러와 노래짱,2023-03-29 15:22,U,01:00.0,단란주점,204911.2106,456498.098,,,,,,,,,,,,,,,,,,,
3060000,3060000-103-1993-06702,1993-12-03,,1,영업/정상,1,영업,,,,,02 9773872,136.38,131-849,서울특별시 중랑구 묵동 181-68,서울특별시 중랑구 동일로 856 (묵동),2045,개구쟁이7080라이브,2024-04-27 12:42,U,09:00.0,단란주점,206884.5208,456059.8927,,,,,,,,,,,,,,,,,,,
3200000,3200000-103-2023-00002,2023-09-25,,1,영업/정상,1,영업,,,,,,99.87,151-875,서울특별시 관악구 신림동 527-3,"서울특별시 관악구 남부순환로 1479, 지1층 (신림동)",8761,모이자,2023-09-25 17:15,I,07:00.0,단란주점,192405.2588,442228.0609,,,,,,,,,,,,,,,,,,,
3110000,3110000-103-2008-00003,2008-05-21,,1,영업/정상,1,영업,,,,,,122.26,122-959,서울특별시 은평구 갈현동 456-4 지하1층,"서울특별시 은평구 연서로27길 6, 지하1층 (갈현동)",3331,복 노래밤,2024-02-27 20:49,U,09:00.0,단란주점,192766.4925,457278.7747,,,,,,,,,,,,,,,,,,,
3220000,3220000-103-2001-23080,2001-02-16,,1,영업/정상,1,영업,,,,,02  34461971,135.9,135-830,서울특별시 강남구 논현동 242-21 지하1층,"서울특별시 강남구 선릉로129길 3-6, 지하1층 (논현동)",6099,파티룸토르,2023-04-10 14:32,U,02:00.0,단란주점,203552.5167,445969.4993,,,,,,,,,,,,,,,,,,,
